,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,221.0,136.0,17.0,0.0,13.0,149.0,7.0,474.0
EPAD,623.0,164.0,22.0,2.0,23.0,179.0,6.0,218.0
PREVENT-AD,50.0,29.0,4.0,4.0,1.0,31.0,2.0,12.0
NACC,104.0,57.0,14.0,26.0,14.0,96.0,46.0,149.0
EMIF,221.0,221.0,83.0,24.0,10.0,114.0,49.0,292.0
DOD-ADNI,54.0,25.0,5.0,1.0,2.0,19.0,1.0,6.0
JADNI,38.0,21.0,20.0,1.0,8.0,10.0,8.0,91.0
