,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,160.0,3.0,11.0,44.0,150.0,0.0,366.0
EPAD,640.0,168.0,16.0,4.0,28.0,165.0,6.0,210.0
PREVENT-AD,57.0,29.0,5.0,3.0,0.0,26.0,3.0,10.0
NACC,108.0,47.0,17.0,30.0,12.0,102.0,51.0,139.0
EMIF,212.0,164.0,80.0,24.0,9.0,132.0,57.0,336.0
DOD-ADNI,41.0,28.0,0.0,2.0,3.0,28.0,2.0,9.0
JADNI,38.0,28.0,14.0,2.0,8.0,9.0,7.0,91.0
