,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,202.0,26.0,0.0,12.0,125.0,6.0,384.0
EPAD,638.0,164.0,23.0,2.0,23.0,169.0,7.0,211.0
PREVENT-AD,64.0,25.0,2.0,7.0,0.0,24.0,2.0,9.0
NACC,105.0,54.0,21.0,19.0,10.0,93.0,55.0,149.0
EMIF,203.0,229.0,65.0,30.0,8.0,115.0,53.0,311.0
DOD-ADNI,38.0,29.0,0.0,1.0,2.0,31.0,2.0,10.0
JADNI,32.0,23.0,8.0,5.0,11.0,13.0,6.0,99.0
