,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,235.0,177.0,19.0,0.0,13.0,133.0,7.0,433.0
EPAD,667.0,169.0,18.0,3.0,25.0,159.0,9.0,187.0
PREVENT-AD,59.0,23.0,2.0,7.0,1.0,30.0,1.0,10.0
NACC,117.0,51.0,14.0,29.0,13.0,94.0,50.0,138.0
EMIF,195.0,188.0,62.0,26.0,13.0,138.0,47.0,345.0
DOD-ADNI,46.0,30.0,1.0,1.0,2.0,21.0,3.0,9.0
JADNI,27.0,18.0,12.0,0.0,12.0,15.0,9.0,104.0
