,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,292.0,141.0,12.0,0.0,22.0,182.0,6.0,362.0
EPAD,645.0,163.0,19.0,2.0,25.0,169.0,7.0,207.0
PREVENT-AD,57.0,23.0,3.0,3.0,0.0,34.0,2.0,11.0
NACC,100.0,53.0,20.0,26.0,8.0,94.0,54.0,151.0
EMIF,193.0,203.0,66.0,27.0,12.0,126.0,44.0,343.0
DOD-ADNI,52.0,25.0,3.0,1.0,2.0,23.0,1.0,6.0
JADNI,39.0,9.0,11.0,3.0,15.0,17.0,8.0,95.0
