,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,260.0,115.0,2.0,5.0,43.0,182.0,0.0,410.0
EPAD,613.0,164.0,23.0,2.0,22.0,188.0,6.0,219.0
PREVENT-AD,55.0,31.0,4.0,4.0,0.0,26.0,3.0,10.0
NACC,106.0,61.0,26.0,20.0,6.0,83.0,57.0,147.0
EMIF,194.0,230.0,52.0,32.0,13.0,127.0,40.0,326.0
DOD-ADNI,43.0,28.0,0.0,2.0,3.0,26.0,1.0,10.0
JADNI,27.0,18.0,11.0,0.0,9.0,13.0,10.0,109.0
