,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,223.0,143.0,18.0,0.0,13.0,152.0,5.0,463.0
EPAD,626.0,165.0,31.0,1.0,21.0,168.0,7.0,218.0
PREVENT-AD,50.0,33.0,3.0,5.0,2.0,27.0,1.0,12.0
NACC,118.0,70.0,18.0,25.0,12.0,72.0,48.0,143.0
EMIF,224.0,228.0,71.0,26.0,12.0,107.0,44.0,302.0
DOD-ADNI,47.0,29.0,3.0,0.0,2.0,21.0,2.0,9.0
JADNI,35.0,31.0,7.0,4.0,11.0,9.0,4.0,96.0
