,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,229.0,147.0,25.0,0.0,13.0,146.0,5.0,452.0
EPAD,624.0,165.0,20.0,3.0,26.0,176.0,6.0,217.0
PREVENT-AD,54.0,31.0,4.0,3.0,1.0,27.0,2.0,11.0
NACC,132.0,64.0,20.0,33.0,13.0,61.0,46.0,137.0
EMIF,195.0,214.0,69.0,23.0,9.0,127.0,80.0,297.0
DOD-ADNI,43.0,33.0,4.0,1.0,1.0,20.0,1.0,10.0
JADNI,39.0,15.0,16.0,2.0,10.0,13.0,7.0,95.0
