,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,102.0,9.0,0.0,25.0,208.0,6.0,402.0
EPAD,613.0,171.0,28.0,5.0,20.0,169.0,4.0,227.0
PREVENT-AD,57.0,29.0,4.0,6.0,0.0,24.0,2.0,11.0
NACC,108.0,64.0,23.0,23.0,10.0,83.0,57.0,138.0
EMIF,227.0,217.0,53.0,40.0,15.0,117.0,56.0,289.0
DOD-ADNI,49.0,32.0,0.0,3.0,1.0,19.0,1.0,8.0
JADNI,36.0,31.0,8.0,4.0,10.0,9.0,6.0,93.0
