,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,154.0,2.0,7.0,42.0,158.0,0.0,371.0
EPAD,618.0,170.0,26.0,6.0,22.0,167.0,5.0,223.0
PREVENT-AD,43.0,37.0,2.0,8.0,2.0,27.0,1.0,13.0
NACC,111.0,50.0,25.0,22.0,9.0,89.0,57.0,143.0
EMIF,207.0,169.0,77.0,22.0,12.0,133.0,63.0,331.0
DOD-ADNI,41.0,29.0,0.0,2.0,2.0,27.0,1.0,11.0
JADNI,36.0,18.0,13.0,1.0,10.0,15.0,7.0,97.0
