,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,126.0,12.0,0.0,24.0,183.0,4.0,402.0
EPAD,624.0,179.0,28.0,5.0,20.0,158.0,4.0,219.0
PREVENT-AD,44.0,28.0,3.0,4.0,2.0,39.0,1.0,12.0
NACC,114.0,48.0,18.0,24.0,12.0,98.0,57.0,135.0
EMIF,228.0,230.0,65.0,30.0,13.0,109.0,42.0,297.0
DOD-ADNI,45.0,27.0,1.0,1.0,3.0,25.0,2.0,9.0
JADNI,27.0,30.0,6.0,2.0,9.0,8.0,5.0,110.0
