,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,291.0,174.0,3.0,11.0,43.0,142.0,0.0,353.0
EPAD,670.0,162.0,19.0,3.0,20.0,171.0,7.0,185.0
PREVENT-AD,54.0,23.0,2.0,5.0,0.0,37.0,1.0,11.0
NACC,98.0,58.0,27.0,26.0,8.0,85.0,54.0,150.0
EMIF,210.0,204.0,48.0,33.0,14.0,128.0,40.0,337.0
DOD-ADNI,47.0,26.0,2.0,0.0,1.0,26.0,2.0,9.0
JADNI,38.0,28.0,11.0,5.0,10.0,8.0,6.0,91.0
