,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,124.0,2.0,10.0,48.0,171.0,0.0,404.0
EPAD,623.0,181.0,25.0,9.0,23.0,156.0,2.0,218.0
PREVENT-AD,55.0,30.0,4.0,6.0,0.0,25.0,1.0,12.0
NACC,100.0,63.0,21.0,23.0,9.0,85.0,51.0,154.0
EMIF,211.0,214.0,73.0,26.0,12.0,118.0,52.0,308.0
DOD-ADNI,50.0,31.0,0.0,4.0,2.0,18.0,1.0,7.0
JADNI,35.0,26.0,12.0,2.0,9.0,11.0,8.0,94.0
