,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,235.0,175.0,19.0,0.0,13.0,133.0,7.0,435.0
EPAD,601.0,177.0,23.0,9.0,22.0,172.0,2.0,231.0
PREVENT-AD,53.0,34.0,2.0,9.0,1.0,22.0,0.0,12.0
NACC,99.0,71.0,21.0,24.0,16.0,72.0,49.0,154.0
EMIF,206.0,213.0,64.0,28.0,12.0,119.0,45.0,327.0
DOD-ADNI,46.0,22.0,3.0,1.0,2.0,29.0,2.0,8.0
JADNI,29.0,36.0,8.0,4.0,9.0,7.0,4.0,100.0
