,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,152.0,2.0,8.0,41.0,162.0,0.0,372.0
EPAD,598.0,185.0,18.0,12.0,22.0,165.0,2.0,235.0
PREVENT-AD,49.0,25.0,3.0,4.0,0.0,39.0,2.0,11.0
NACC,99.0,57.0,24.0,21.0,8.0,94.0,61.0,142.0
EMIF,197.0,215.0,68.0,29.0,12.0,115.0,55.0,323.0
DOD-ADNI,42.0,29.0,1.0,1.0,2.0,25.0,3.0,10.0
JADNI,31.0,16.0,9.0,2.0,12.0,15.0,9.0,103.0
