,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,274.0,148.0,2.0,10.0,46.0,160.0,0.0,377.0
EPAD,627.0,170.0,28.0,5.0,23.0,159.0,6.0,219.0
PREVENT-AD,65.0,20.0,2.0,6.0,0.0,29.0,1.0,10.0
NACC,110.0,53.0,25.0,23.0,10.0,89.0,53.0,143.0
EMIF,200.0,208.0,71.0,23.0,9.0,122.0,61.0,320.0
DOD-ADNI,47.0,32.0,1.0,1.0,1.0,20.0,2.0,9.0
JADNI,32.0,24.0,5.0,3.0,13.0,11.0,4.0,105.0
