,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,132.0,3.0,9.0,45.0,169.0,0.0,395.0
EPAD,630.0,182.0,24.0,11.0,25.0,151.0,1.0,213.0
PREVENT-AD,51.0,32.0,4.0,2.0,1.0,30.0,2.0,11.0
NACC,131.0,57.0,15.0,25.0,11.0,81.0,52.0,134.0
EMIF,181.0,216.0,55.0,36.0,14.0,124.0,46.0,342.0
DOD-ADNI,48.0,29.0,2.0,0.0,2.0,22.0,1.0,9.0
JADNI,33.0,11.0,18.0,0.0,9.0,15.0,10.0,101.0
