,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,226.0,149.0,19.0,0.0,13.0,149.0,5.0,456.0
EPAD,630.0,180.0,20.0,12.0,27.0,155.0,1.0,212.0
PREVENT-AD,57.0,24.0,3.0,4.0,0.0,33.0,2.0,10.0
NACC,111.0,47.0,20.0,30.0,11.0,93.0,50.0,144.0
EMIF,212.0,251.0,71.0,29.0,11.0,102.0,39.0,299.0
DOD-ADNI,42.0,31.0,0.0,1.0,1.0,24.0,0.0,14.0
JADNI,34.0,26.0,10.0,2.0,10.0,11.0,7.0,97.0
