,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,129.0,3.0,6.0,43.0,174.0,0.0,397.0
EPAD,644.0,168.0,14.0,5.0,31.0,161.0,6.0,208.0
PREVENT-AD,53.0,23.0,5.0,3.0,0.0,36.0,2.0,11.0
NACC,114.0,49.0,22.0,25.0,8.0,93.0,52.0,143.0
EMIF,214.0,205.0,70.0,28.0,12.0,124.0,57.0,304.0
DOD-ADNI,46.0,26.0,2.0,0.0,3.0,25.0,2.0,9.0
JADNI,31.0,19.0,10.0,1.0,11.0,14.0,8.0,103.0
