,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,5,87,3,55,5,179,877,16
MCI,-,-,-,-,-,-,-,-
AD,-,-,-,4,1,3,1,-
Unknown,-,1,-,-,-,-,-,-
