,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,-,5,2,-,-,5,213,12
MCI,1,8,2,-,-,3,17,9
AD,2,22,5,1,-,33,79,12
Unknown,-,-,4,-,-,17,54,-
