,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,1,2,2,-,-,7,181,-
MCI,2,54,25,8,-,41,375,16
AD,1,30,7,5,2,58,82,12
Unknown,-,3,-,-,-,9,91,-
