,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,752.9,24.38,265.6
EPAD,663.7,23.61,231.8
NACC_ELISA,448.0,59.0,468.0
EMIF_ELISA,607.0,62.5,271.0
NACC_XMAP,242.01,48.2,73.98
EMIF_XMAP,388.26,28.27,88.05
JADNI,335.37,44.86,86.18
