,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,695.5,21.89,265.6
EPAD,734.5,20.9,213.7
NACC_ELISA,478.0,64.0,607.45
EMIF_ELISA,606.12,59.0,340.0
NACC_XMAP,218.58,41.18,76.52
EMIF_XMAP,374.58,24.97,89.02
JADNI,335.37,44.86,85.26
