,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,858.7,24.78,261.3
EPAD,734.5,20.9,213.8
NACC_ELISA,394.0,64.0,438.36
EMIF_ELISA,527.5,52.2,310.0
NACC_XMAP,245.68,45.61,65.43
EMIF_XMAP,374.58,27.26,83.61
JADNI,345.03,54.26,86.18
