,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,857.0,24.78,264.8
EPAD,734.5,23.56,231.9
NACC_ELISA,374.0,59.0,495.0
EMIF_ELISA,527.5,72.0,355.43
NACC_XMAP,226.5,41.18,74.0
EMIF_XMAP,352.2,28.7,100.12
JADNI,389.98,56.04,86.18
