,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,798.6,21.87,264.8
EPAD,731.5,20.71,213.8
NACC_ELISA,420.0,51.1,607.45
EMIF_ELISA,721.5,73.65,355.43
NACC_XMAP,233.0,36.58,56.69
EMIF_XMAP,388.26,28.27,88.05
JADNI,333.91,46.32,86.18
