,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,771.9,24.38,264.7
EPAD,731.5,20.76,213.8
NACC_ELISA,446.0,64.0,439.0
EMIF_ELISA,606.12,52.2,271.0
NACC_XMAP,227.53,41.05,77.53
EMIF_XMAP,374.58,30.81,95.57
JADNI,333.91,44.86,86.18
