,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,888.1,21.89,232.5
EPAD,663.7,20.9,213.8
NACC_ELISA,446.0,59.0,607.45
EMIF_ELISA,606.12,72.0,340.0
NACC_XMAP,226.35,36.91,55.54
EMIF_XMAP,336.31,38.24,100.12
JADNI,333.91,44.86,85.26
