,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,801.7,25.42,237.9
EPAD,731.5,20.76,213.8
NACC_ELISA,374.0,59.0,468.0
EMIF_ELISA,524.45,70.0,355.43
NACC_XMAP,226.5,41.05,61.84
EMIF_XMAP,431.43,28.7,99.99
JADNI,370.35,43.06,84.95
