,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,867.0,22.0,254.9
EPAD,665.9,23.61,231.9
NACC_ELISA,474.0,66.0,607.45
EMIF_ELISA,606.12,72.0,310.0
NACC_XMAP,226.35,36.91,55.54
EMIF_XMAP,388.26,38.24,124.49
JADNI,333.91,46.32,86.18
