,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,772.0,24.78,265.6
EPAD,735.7,23.61,231.9
NACC_ELISA,474.0,64.0,468.0
EMIF_ELISA,527.5,58.0,355.43
NACC_XMAP,221.34,41.18,56.69
EMIF_XMAP,352.2,30.81,99.99
JADNI,333.91,44.86,86.18
