,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,867.0,24.25,279.3
EPAD,731.5,25.23,271.5
NACC_ELISA,446.0,59.0,607.45
EMIF_ELISA,500.5,56.0,309.0
NACC_XMAP,221.34,48.2,77.53
EMIF_XMAP,336.31,30.81,100.12
JADNI,333.91,54.26,85.26
