,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,888.1,22.53,279.3
EPAD,525.1,44.89,440.0
NACC_ELISA,478.0,55.0,468.0
EMIF_ELISA,506.5,62.63,340.0
NACC_XMAP,226.5,45.61,56.69
EMIF_XMAP,376.68,30.81,124.49
JADNI,333.91,43.39,84.95
