,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,867.0,24.25,215.8
EPAD,734.5,25.23,271.6
NACC_ELISA,474.0,64.0,481.0
EMIF_ELISA,590.0,61.5,310.0
NACC_XMAP,226.35,36.91,54.07
EMIF_XMAP,376.68,28.7,83.61
JADNI,392.99,54.26,85.26
