,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,889.9,24.9,279.3
EPAD,734.5,23.56,231.8
NACC_ELISA,513.0,64.0,578.0
EMIF_ELISA,606.12,62.5,340.0
NACC_XMAP,218.58,37.95,54.3
EMIF_XMAP,376.68,30.81,100.12
JADNI,335.37,43.39,82.09
