,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,762.0,21.89,254.9
EPAD,739.4,20.76,213.8
NACC_ELISA,478.0,64.0,438.36
EMIF_ELISA,606.12,56.0,321.5
NACC_XMAP,227.53,41.18,66.76
EMIF_XMAP,336.31,25.64,116.48
JADNI,335.37,43.06,84.95
