,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,888.1,24.38,279.3
EPAD,734.5,23.56,331.5
NACC_ELISA,474.0,59.0,607.45
EMIF_ELISA,533.5,70.52,271.0
NACC_XMAP,219.94,41.18,78.82
EMIF_XMAP,431.43,38.24,89.02
JADNI,335.37,46.32,84.95
