,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,752.9,22.0,253.6
EPAD,665.6,20.9,213.8
NACC_ELISA,420.0,54.0,607.45
EMIF_ELISA,527.78,59.0,355.43
NACC_XMAP,219.94,41.18,56.69
EMIF_XMAP,336.31,26.24,100.12
JADNI,335.37,54.26,85.26
