,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,857.0,25.42,253.6
EPAD,734.5,23.61,333.7
NACC_ELISA,474.0,66.0,468.0
EMIF_ELISA,560.0,72.0,355.43
NACC_XMAP,238.48,36.91,56.69
EMIF_XMAP,374.58,28.7,95.57
JADNI,333.91,56.04,86.18
