,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,801.7,21.45,208.2
EPAD,731.5,25.27,332.4
NACC_ELISA,474.0,64.0,495.0
EMIF_ELISA,497.42,72.0,355.43
NACC_XMAP,247.91,40.6,56.69
EMIF_XMAP,376.68,27.26,100.12
JADNI,344.24,43.39,85.26
