,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,801.7,21.89,264.8
EPAD,731.5,30.98,333.7
NACC_ELISA,374.0,56.0,495.0
EMIF_ELISA,524.45,59.0,350.0
NACC_XMAP,215.36,41.18,74.0
EMIF_XMAP,376.68,36.1,100.12
JADNI,350.55,46.32,86.18
