,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,867.0,21.41,220.9
EPAD,731.5,25.24,420.7
NACC_ELISA,421.0,64.0,468.0
EMIF_ELISA,560.0,72.0,271.0
NACC_XMAP,219.94,36.91,54.3
EMIF_XMAP,282.27,27.26,100.12
JADNI,345.03,56.04,86.18
