,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,124,4,8,3,-,42,5,7
MCI,158,78,68,4,2,97,34,80
AD,20,23,10,-,8,73,16,47
Unknown,56,5,4,2,-,25,4,7
