,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,142,38,3,3,5,50,-,25
MCI,152,82,4,2,20,99,-,172
AD,10,27,1,1,9,31,1,140
Unknown,-,-,-,-,-,-,-,-
