,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,149,18,19,9,2,21,12,7
MCI,8,3,2,-,-,5,10,12
AD,6,16,5,2,4,22,36,63
Unknown,19,3,6,-,1,17,9,20
