,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,639,223,85,-,3,119,13,145
MCI,-,-,-,-,-,-,-,-
AD,-,-,-,-,-,1,-,8
Unknown,-,-,-,-,-,-,-,1
