,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,42,3,1,-,2,4,-,2
MCI,18,11,5,-,4,8,2,40
AD,1,5,3,-,4,4,3,35
Unknown,-,-,-,-,-,-,-,-
