,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,839.33,20.96,228.1
EPAD,888.83,20.06,228.37
PREVENT-AD,1087.01,54.73,302.82
NACC_ELISA,620.0,48.0,354.0
EMIF_ELISA,526.67,53.38,276.33
NACC_XMAP,248.63,36.5,55.05
EMIF_XMAP,450.2,34.97,88.05
DOD-ADNI,1004.0,21.5,250.0
JADNI,350.55,37.3,71.97
