,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,831.3,21.4,236.33
EPAD,848.1,20.43,237.1
PREVENT-AD,1153.88,53.91,302.82
NACC_ELISA,628.56,45.0,320.0
EMIF_ELISA,522.4,55.33,287.5
NACC_XMAP,248.54,38.17,60.4
EMIF_XMAP,374.58,28.7,83.16
DOD-ADNI,925.0,19.9,229.0
JADNI,389.98,38.88,72.22
