,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,824.7,22.53,253.2
EPAD,867.4,20.3,231.83
PREVENT-AD,1028.72,48.6,278.38
NACC_ELISA,608.0,47.0,349.0
EMIF_ELISA,510.0,50.62,252.2
NACC_XMAP,237.73,35.45,55.75
EMIF_XMAP,443.52,30.81,73.82
DOD-ADNI,933.0,19.8,227.0
JADNI,383.99,39.2,74.88
