,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,838.6,21.43,236.57
EPAD,896.93,19.65,226.77
PREVENT-AD,1129.85,52.65,313.4
NACC_ELISA,647.0,46.0,349.0
EMIF_ELISA,526.1,55.0,288.39
NACC_XMAP,245.56,36.33,53.96
EMIF_XMAP,443.52,32.6,83.16
DOD-ADNI,908.0,21.0,252.0
JADNI,422.46,38.88,69.41
