,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,84,1,-,2,4,96,1,5
MCI,163,12,8,3,21,182,37,95
AD,15,1,2,2,12,86,19,60
Unknown,31,2,-,1,3,58,5,3
