,A+T+N+,A-T-N-,A+T+N-,A+T-N-,A-T+N+,A-T-N+,A-T+N-,A+T-N+
CU,162,670,12,829,54,26,1,10
MCI,-,-,-,-,-,-,-,-
AD,5,1,-,5,-,-,-,-
Unknown,1,-,-,-,-,-,-,-
