,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,132,2,7,2,2,80,5,7
MCI,6,-,1,-,1,11,10,11
AD,12,3,1,-,4,66,29,39
Unknown,18,1,-,1,5,36,7,7
