,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,127,5,4,-,1,113,3,13
MCI,139,14,1,1,11,252,7,106
AD,13,5,-,-,6,105,8,83
Unknown,-,-,-,-,-,-,-,-
