,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,583,43,8,3,14,438,3,135
MCI,-,-,-,-,-,-,-,-
AD,-,-,-,-,-,4,-,5
Unknown,-,-,-,-,-,-,-,1
