,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,44,10,89,2,1,84,4,3
MCI,1,5,11,-,1,7,7,8
AD,5,9,8,-,10,71,22,29
Unknown,7,1,5,-,3,52,4,3
