,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,87,1,-,2,5,96,-,2
MCI,167,8,5,5,31,206,24,75
AD,19,3,-,3,14,96,11,51
Unknown,33,2,-,1,3,60,2,2
