,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,23,8,3,2,3,8,2,5
MCI,9,11,3,-,7,2,3,53
AD,-,-,3,-,1,4,3,44
Unknown,-,-,-,-,-,-,-,-
