,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,127,47,3,-,4,46,1,38
MCI,130,87,6,3,18,80,2,205
AD,8,26,1,-,11,22,-,152
Unknown,-,-,-,-,-,-,-,-
