,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,621,167,24,6,23,168,5,213
MCI,-,-,-,-,-,-,-,-
AD,-,-,-,-,1,1,-,7
Unknown,-,-,-,-,-,-,-,1
