,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,91,34,14,19,4,44,10,21
MCI,3,4,-,1,-,6,3,23
AD,3,12,1,3,5,19,31,80
Unknown,12,6,4,2,1,19,9,22
