,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,74,33,9,13,3,39,7,15
MCI,94,139,40,12,5,47,18,166
AD,6,31,9,-,2,15,16,118
Unknown,33,17,5,4,3,17,5,19
